ItemNumber,ItemTitle,ChangeSource,Location,StockChangeDateTime,ChangeQTY,ChangeValue
"CMW32GX4M4D3600C18","Corsair VENGEANCE RGB 32GB (4 x 8GB) DDR4 3600MHz Memory RAM CMW32GX4M4D3600C18","Imported from file","Default","15/05/2025 00:00:17","0","-8.88178419700125E-15"
"CMK8GX4M2A2133C13","CORSAIR VENGEANCE LPX 8GB (2 x 4GB) DDR4 DRAM 2133MHz C13 Memory Kit - Black","Imported from file","Default","15/05/2025 00:00:17","0","-2.22044604925031E-16"
"CMK16GX4M2D3600C16","CORSAIR VENGEANCE LPX 16GB (2 x 8GB) DDR4 3600MHz Memory RAM CMK16GX4M2D3600C16","Imported from file","Default","15/05/2025 00:00:17","0","-8.88178419700125E-15"
"CMW64GX4M4D3600C18","CORSAIR VENGEANCE 64GB (4 x16GB) DDR4 3600MHz Memory RAM CMW64GX4M4D3600C18","Imported from file","Default","15/05/2025 00:00:17","0","-8.88178419700125E-15"
"CMK32GX4M2E3200C16","Corsair VENGEANCE LPX 32GB (2x16GB) DDR4 3200MHz RAM CMK32GX4M2E3200C16","Imported from file","Default","15/05/2025 00:00:17","0","-1.77635683940025E-14"
"CMW16GX4M2C3200C16","Corsair VENGEANCE RGB 16GB (2 x 8GB) DDR4 3200MHz Memory RAM CMW16GX4M2C3200C16","Imported from file","Default","15/05/2025 00:00:17","0","-8.88178419700125E-15"
"CMK32GX4M4A2666C16W","CORSAIR VENGEANCE LPX 32GB (4 x 8GB) DDR4 2400MHz Memory RAM CMK32GX4M4A2666C16W","Imported from file","Default","15/05/2025 00:00:17","0","-1.77635683940025E-14"
"CMW16GX4M2D3600C18","Corsair VENGEANCE RGB 16GB (2 x 8GB) DDR4 3600MHz Memory RAM CMW16GX4M2D3600C18","Imported from file","Default","15/05/2025 00:00:17","0","-8.88178419700125E-15"
"CMK8GX4M2A2400C14","CORSAIR VENGEANCE LPX 8GB (2 x 4GB) DDR4 DRAM 2400MHz C14 Memory Kit - Black","Imported from file","Default","15/05/2025 00:00:17","0","-2.22044604925031E-16"
"CMW32GX4M2Z3600C18","CORSAIR VENGEANCE 32GB (2 x16GB) DDR4 3600MHz Memory RAM CMW32GX4M2Z3600C18","Imported from file","Default","15/05/2025 00:00:17","0","-8.88178419700125E-15"
"DX16GDDR4AA3200U","[DESKTOP,DDR4,PC4-25600 (DDR4-3200),16GB (1x16GB),DX16GDDR4AA3200U]","Imported from file","Default","15/05/2025 00:00:18","0","-6.82121026329696E-13"
"DX4GDDR3-U","Desktop Memory Ram 4GB DDR3","Imported from file","Default","15/05/2025 00:00:18","0","-2.72848410531878E-12"
"DX16GDDR4T2400U-SAM","Samsung 16GB Desktop Memory RAM DDR4 2400MHz DIMM PC4-19200 1.2V 288 Pin","Imported from file","Default","15/05/2025 00:00:18","0","-4.54747350886464E-13"
"HA2160-7","160GB 2.5"" SATA HDD 7mm","Imported from file","Default","15/05/2025 00:00:18","0","-1.77635683940025E-15"
"DX16GDDR4P2133U","[DESKTOP,DDR4,PC4-17000 (DDR4-2133),16GB (1x16GB),DX16GDDR4P2133U]","Imported from file","Default","15/05/2025 00:00:18","0","-6.82121026329696E-13"
"DX4GDDR3E-U 1RX8","Desktop Memory Ram 4GB DDR3 ECC 1RX8","Imported from file","Default","15/05/2025 00:00:18","0","-5.32907051820075E-14"
"DX4GDDR3E1866U","MEMORY RAM DDR2 DDR3 DDR4 2GB 4GB 8GB 16GB DESKTOP SERVER LAPTOP Lot[DESKTOP ECC,DDR3,PC3-14900E  (DDR3-1866),4GB (1x4GB),DX4GDDR3E1866U]","Imported from file","Default","15/05/2025 00:00:18","0","-9.76996261670138E-15"
"DX16GDDR4V2666U","[DESKTOP,DDR4,PC4-21300 (DDR4-2666),16GB (1x16GB),DX16GDDR4V2666U]","Imported from file","Default","15/05/2025 00:00:18","0","-2.8421709430404E-13"
"DX4GDDR4-U","Desktop Memory Ram 4GB DDR4","Imported from file","Default","15/05/2025 00:00:18","0","-2.27373675443232E-13"
"DX4GDDR4EP2133U","MEMORY RAM DDR2 DDR3 DDR4 2GB 4GB 8GB 16GB DESKTOP SERVER LAPTOP Lot[DESKTOP ECC,DDR4,PC4-17000 (DDR4-2133),4GB (1x4GB),DX4GDDR4EP2133U]","Imported from file","Default","15/05/2025 00:00:18","0","-1.77635683940025E-14"
"DX4GDDR3LU1866U","[DESKTOP,DDR3L,PC3L-14900 (DDR3L-1866),4GB (1x4GB),DX4GDDR3LU1866U]","Imported from file","Default","15/05/2025 00:00:18","0","-4.44089209850063E-15"
"DX16GDDR4T2400U","[DESKTOP,DDR4,PC4-19200 (DDR4-2400),16GB (1x16GB),DX16GDDR4T2400U]","Imported from file","Default","15/05/2025 00:00:18","0","-5.6843418860808E-13"
"DX16GDDR4-U","Desktop Memory Ram 16GB DDR4","Imported from file","Default","15/05/2025 00:00:18","0","-3.18323145620525E-12"
"DX4GDDR4E-U","Desktop Memory Ram 4GB DDR3 ECC","Imported from file","Default","15/05/2025 00:00:18","0","-2.44249065417534E-15"
"DX8GDDR4P2133U-SAM","[DESKTOP,DDR4,PC4-17000 (DDR4-2133),8GB (1x8GB),DX8GDDR4P2133U]","Imported from file","Default","15/05/2025 00:00:18","0","-1.4210854715202E-13"
"DX16GDDR4V2666U-SAM","[DESKTOP,DDR4,PC4-21300 (DDR4-2666),16GB (1x16GB),DX16GDDR4V2666U]","Imported from file","Default","15/05/2025 00:00:18","0","-2.27373675443232E-13"
"DX8GDDR3E-U","Desktop Memory Ram 8GB DDR3 ECC","Imported from file","Default","15/05/2025 00:00:18","0","-9.09494701772928E-12"
"DX8GDDR4E-U","Desktop Memory Ram 8GB DDR4 ECC","Imported from file","Default","15/05/2025 00:00:18","0","-6.21724893790088E-14"
"DX8GDDR4E-U 1RX8","Desktop Memory Ram 8GB DDR4 ECC 1RX8","Imported from file","UK-Reballing","15/05/2025 00:00:18","0","-5.45696821063757E-12"
"DX4GDDR3LU1600U","[DESKTOP,DDR3L,PC3L-12800 (DDR3L-1600),4GB (1x4GB),DX4GDDR3LU1600U]","Imported from file","Default","15/05/2025 00:00:18","0","-1.4210854715202E-13"
"DX16GDDR4V2666U-HYN","[DESKTOP,DDR4,PC4-21300 (DDR4-2666),16GB (1x16GB),DX16GDDR4V2666U]","Imported from file","Default","15/05/2025 00:00:18","0","-3.97903932025656E-13"
"DX8GDDR3U1066U","[DESKTOP,DDR3,PC3-8500 (DDR3-1066),8GB (1x8GB),DX8GDDR3U1333U]","Imported from file","Default","15/05/2025 00:00:18","0","-1.06581410364015E-14"
"DX8GDDR4T2400U-HYN","[DESKTOP,DDR4,PC4-19200 (DDR4-2400),8GB (1x8GB),DX8GDDR4T2400U]","Imported from file","Default","15/05/2025 00:00:18","0","-1.56319401867222E-13"
"DX8GDDR4ET2400U","MEMORY RAM DDR2 DDR3 DDR4 2GB 4GB 8GB 16GB DESKTOP SERVER LAPTOP Lot[DESKTOP ECC,DDR4,PC4-19200 (DDR4-2400),8GB (1x8GB),DX8GDDR4ET2400U]","Imported from file","Default","15/05/2025 00:00:18","0","-3.10862446895044E-14"
"DX8GDDR3LU1866U","[DESKTOP,DDR3L,PC3L-14900 (DDR3L-1866),8GB (1x8GB),DX8GDDR3LU1866U]","Imported from file","Default","15/05/2025 00:00:18","0","-4.9737991503207E-14"
"DX8GDDR4E-U","Desktop Memory Ram 8GB DDR4 ECC","Imported from file","UK-Reballing","15/05/2025 00:00:18","0","-5.00222085975111E-12"
"DX8GDDR4P2133U-MIC","[DESKTOP,DDR4,PC4-17000 (DDR4-2133),8GB (1x8GB),DX8GDDR4P2133U]","Imported from file","Default","15/05/2025 00:00:18","0","-4.2632564145606E-13"
"DX4GDDR4ET2400U","DX4GDDR4ET2400U","Imported from file","Default","15/05/2025 00:00:18","0","-2.44249065417534E-15"
"DX16GDDR4Y2933U","16GB (1 x 16GB) Refurbished Desktop Memory RAM 2933Mhz DDR4 Non-ECC Unbuffered DIMM 288 Pin 1.2V","Imported from file","Default","15/05/2025 00:00:18","0","-9.9475983006414E-14"
"DX8GDDR4P2133U-HYN","[DESKTOP,DDR4,PC4-17000 (DDR4-2133),8GB (1x8GB),DX8GDDR4P2133U]","Imported from file","Default","15/05/2025 00:00:18","0","-3.69482222595252E-13"
"DX8GDDR4T2400U-MIC","[DESKTOP,DDR4,PC4-19200 (DDR4-2400),8GB (1x8GB),DX8GDDR4T2400U]","Imported from file","Default","15/05/2025 00:00:18","0","-2.27373675443232E-13"
"DX8GDDR3E1600U","8GB DDR3 PC3-12800 1600MHz 240 ECC Unbuffered Desktop Memory RAM","Imported from file","Default","15/05/2025 00:00:18","0","-1.70530256582424E-13"
"DX8GDDR4P2133U","[DESKTOP,DDR4,PC4-17000 (DDR4-2133),8GB (1x8GB),DX8GDDR4P2133U]","Imported from file","Default","15/05/2025 00:00:18","0","-5.00222085975111E-12"
"DX8GDDR4-U","Desktop Memory Ram 8GB DDR4","Imported from file","Default","15/05/2025 00:00:18","0","-2.18278728425503E-11"
"DX8GDDR4T2400U-KING","[DESKTOP,DDR4,PC4-19200 (DDR4-2400),8GB (1x8GB),DX8GDDR4T2400U]","Imported from file","Default","15/05/2025 00:00:18","0","-1.77635683940025E-14"
"DX8GDDR3-U","Desktop Memory Ram 8GB DDR3","Imported from file","Default","15/05/2025 00:00:18","0","-6.3664629124105E-12"
"DX8GDDR3U1600U","[DESKTOP,DDR3,PC3-12800 (DDR3-1600),8GB (1x8GB),DX8GDDR3U1600U]","Imported from file","Default","15/05/2025 00:00:18","0","-7.8159700933611E-14"
"DX8GDDR4V2666U-HYN","[DESKTOP,DDR4,PC4-21300 (DDR4-2666),8GB (1x8GB),DX8GDDR4V2666U]","Imported from file","Default","15/05/2025 00:00:18","0","-2.8421709430404E-14"
"DX8GDDR4V2666U-MIC","[DESKTOP,DDR4,PC4-21300 (DDR4-2666),8GB (1x8GB),DX8GDDR4V2666U]","Imported from file","Default","15/05/2025 00:00:18","0","-3.5527136788005E-14"
"DX8GDDR4V2666U-KING","[DESKTOP,DDR4,PC4-21300 (DDR4-2666),8GB (1x8GB),DX8GDDR4V2666U]","Imported from file","Default","15/05/2025 00:00:18","0","-1.77635683940025E-14"
"DX8GDDR4EP2133U","MEMORY RAM DDR2 DDR3 DDR4 2GB 4GB 8GB 16GB DESKTOP SERVER LAPTOP Lot[DESKTOP ECC,DDR4,PC4-17000 (DDR4-2133),8GB (1x8GB),DX8GDDR4EP2133U]","Imported from file","Default","15/05/2025 00:00:18","0","-1.55431223447522E-14"
"F4-2400C15D-16GVR","G.SKIL RIPJAWS V 16GB (2x8GB) DDR4 2400MHz RAM F4-2400C15D-16GVR","Imported from file","Default","15/05/2025 00:00:18","0","-8.88178419700125E-15"
"DX8GDDR4P2133U-KING","[DESKTOP,DDR4,PC4-17000 (DDR4-2133),8GB (1x8GB),DX8GDDR4P2133U]","Imported from file","Default","15/05/2025 00:00:18","0","-2.41584530158434E-13"
"F4-2400C15D-8GVR","G.SKIL RIPJAWS V 8GB (2x4GB) DDR4 2400MHz RAM F4-2400C15D-8GVR","Imported from file","Default","15/05/2025 00:00:18","0","-2.22044604925031E-16"
"HA21TB-7","1TB 2.5"" SATA HDD 7mm","Imported from file","Default","15/05/2025 00:00:19","0","-2.27373675443232E-13"
"HA21TB-7WD","Western Digital 1TB 2.5"" SATA HDD 7mm","Imported from file","Default","15/05/2025 00:00:19","0","-1.4210854715202E-13"
"HA33TB","3TB 3.5 SATA HDD, Hard Drive 5600 - 7200 RPM Storage for Desktop CCTV DVR","Imported from file","Default","15/05/2025 00:00:19","0","-4.54747350886464E-12"
"HA21TB-7SE","Seagate 1TB 2.5"" SATA HDD 7mm","Imported from file","Default","15/05/2025 00:00:19","0","-2.27373675443232E-13"
"HA22TB-15SE","Seagate 2TB 2.5"" SATA HDD 15mm","Imported from file","Default","15/05/2025 00:00:19","0","-7.38964445190504E-13"
"HA2160-9SE","Seagate 160GB 2.5"" SATA HDD 9mm","Imported from file","Default","15/05/2025 00:00:19","0","-9.99200722162641E-16"
"HA2500-9SE","Seagate 500GB 2.5"" SATA HDD 9mm","Imported from file","Sharjah","15/05/2025 00:00:19","0","-7.09405867382884E-11"
"HA21TB-9SE","Seagate 1TB 2.5"" SATA HDD 9mm","Imported from file","Default","15/05/2025 00:00:19","0","-1.98951966012828E-13"
"HA34TBWD","Western Digital 4TB 3.5"" SATA HDD","Imported from file","Default","15/05/2025 00:00:19","0","-1.98951966012828E-13"
"HA21TB-9","1TB 2.5"" SATA HDD 9mm","Imported from file","Default","15/05/2025 00:00:19","0","-4.54747350886464E-12"
"HA3500WD","Western Digital 500GB 3.5"" SATA HDD","Imported from file","Default","15/05/2025 00:00:19","0","-3.41060513164848E-13"
"HA22TB-15WD","Western Digital 2TB 2.5"" SATA HDD 15mm","Imported from file","Default","15/05/2025 00:00:19","0","-2.1316282072803E-13"
"HA2320-7SE","Seagate 320GB 2.5"" SATA HDD 7mm","Imported from file","Default","15/05/2025 00:00:19","0","-7.99360577730113E-15"
"HA2160-9WD","Western Digital 160GB 2.5"" SATA HDD 9mm","Imported from file","Default","15/05/2025 00:00:19","0","-3.10862446895044E-15"
"HA2500-9SE","Seagate 500GB 2.5"" SATA HDD 9mm","Imported from file","Default","15/05/2025 00:00:19","0","-1.98951966012828E-13"
"HA2320-9SE","Seagate 320GB 2.5"" SATA HDD 9mm","Imported from file","Default","15/05/2025 00:00:19","0","-5.32907051820075E-15"
"HA3750WD","Western Digital 750GB 3.5"" SATA HDD","Imported from file","Default","15/05/2025 00:00:19","0","-3.99680288865056E-15"
"HA21TB-9WD","Western Digital 1TB 2.5"" SATA HDD 9mm","Imported from file","Default","15/05/2025 00:00:19","0","-2.27373675443232E-13"
"HA3640WD","Western Digital 640GB 3.5"" SATA HDD","Imported from file","Default","15/05/2025 00:00:19","0","-3.10862446895044E-15"
"HA2500-15","500GB 2.5"" SATA HDD 15mm","Imported from file","Default","15/05/2025 00:00:19","0","-5.32907051820075E-14"
"HA2500-7WD","Western Digital 500GB 2.5"" SATA HDD 7mm","Imported from file","Default","15/05/2025 00:00:19","0","-3.41060513164848E-13"
"HA2500-9","500GB 2.5"" SATA HDD 9mm","Imported from file","Sharjah","15/05/2025 00:00:19","0","-2.63753463514149E-11"
"HA34TBSE","Seagate 4TB 3.5"" SATA HDD","Imported from file","Default","15/05/2025 00:00:19","0","-2.04636307898909E-12"
"HA2500-7-SE","Seagate 500GB 7mm - Slim 2.5"" SATA Hard Drive HDD","Imported from file","Default","15/05/2025 00:00:19","0","-6.3948846218409E-14"
"HA2750-9WD","Western Digital 750GB 2.5"" SATA HDD 9mm","Imported from file","Default","15/05/2025 00:00:19","0","-4.2632564145606E-14"
"HA22TB-15","2TB 2.5"" SATA HDD 15mm","Imported from file","Default","15/05/2025 00:00:19","0","-1.20792265079217E-13"
"HA31.5TBSE","Seagate 1.5TB 3.5"" SATA HDD","Imported from file","Default","15/05/2025 00:00:19","0","-3.97903932025656E-13"
"HA2500-9WD","Western Digital 500GB 2.5"" SATA HDD 9mm","Imported from file","Default","15/05/2025 00:00:19","0","-5.6843418860808E-14"
"HA31TB","1TB 3.5 SATA HDD, Hard Drive 5600 - 7200 RPM Storage for Desktop CCTV DVR","Imported from file","Gaming PC & Laptops","15/05/2025 00:00:19","0","-5.6843418860808E-13"
"HA2500-9","500GB 2.5"" SATA HDD 9mm","Imported from file","Default","15/05/2025 00:00:19","0","-8.18545231595635E-12"
"HA31TB","1TB 3.5 SATA HDD, Hard Drive 5600 - 7200 RPM Storage for Desktop CCTV DVR","Imported from file","Default","15/05/2025 00:00:19","0","-2.72848410531878E-12"
"HA31.5TBWD","Western Digital 1.5TB 3.5"" SATA HDD","Imported from file","Default","15/05/2025 00:00:19","0","-7.38964445190504E-13"
"HA32TBSE","Seagate 2TB 3.5"" SATA HDD","Imported from file","Default","15/05/2025 00:00:19","0","-2.72848410531878E-12"
"HA2320-9","320GB 2.5"" SATA HDD 9mm","Imported from file","Default","15/05/2025 00:00:19","0","-2.8421709430404E-13"
"HA33TBSE","Seagate 3TB 3.5"" SATA HDD","Imported from file","Default","15/05/2025 00:00:19","0","-1.13686837721616E-12"
"HA2500-9WD","Western Digital 500GB 2.5"" SATA HDD 9mm","Imported from file","Sharjah","15/05/2025 00:00:19","0","-1.91846538655227E-13"
"HA2640-9SE","Seagate 640GB 2.5"" SATA HDD 9mm","Imported from file","Default","15/05/2025 00:00:19","0","-2.8421709430404E-14"
"HA31TBSE","Seagate 1TB 3.5"" SATA HDD","Imported from file","Gaming PC & Laptops","15/05/2025 00:00:19","0","-9.09494701772928E-13"
"HA2500-15WD","Western Digital 500GB 2.5"" SATA HDD 15mm","Imported from file","Default","15/05/2025 00:00:19","0","-4.44089209850063E-14"
"HA2640-7","640GB 2.5"" SATA HDD 7mm","Imported from file","Default","15/05/2025 00:00:19","0","-1.77635683940025E-15"
"HA2750-9SE","Seagate 750GB 2.5"" SATA HDD 9mm","Imported from file","Default","15/05/2025 00:00:19","0","-4.2632564145606E-14"
"HA31TBSE","Seagate 1TB 3.5"" SATA HDD","Imported from file","Default","15/05/2025 00:00:19","0","-4.36557456851006E-11"
"HA2500-7SE","Seagate 500GB 2.5"" SATA HDD 7mm","Imported from file","Default","15/05/2025 00:00:19","0","-2.55795384873636E-13"
"HA2750-7","750GB 2.5"" SATA HDD 7mm","Imported from file","Default","15/05/2025 00:00:19","0","-1.11022302462516E-15"
"HA2640-9","640GB 2.5"" SATA HDD 9mm","Imported from file","Default","15/05/2025 00:00:19","0","-7.105427357601E-15"
"HA3500","500GB 3.5 SATA HDD, Internal Hard Drive 5600 - 7200 RPM Desktop CCTV DVR","Imported from file","Default","15/05/2025 00:00:19","0","-1.70530256582424E-13"
"HA2640-9WD","Western Digital 640GB 2.5"" SATA HDD 9mm","Imported from file","Default","15/05/2025 00:00:19","0","-1.77635683940025E-15"
"HA2750-9","750GB 2.5"" SATA HDD 9mm","Imported from file","Default","15/05/2025 00:00:19","0","-4.2632564145606E-14"
"HA31.5TB","1.5TB 3.5"" SATA HDD","Imported from file","Default","15/05/2025 00:00:19","0","-7.105427357601E-14"
"HA3750SE","Seagate 750GB 3.5"" SATA HDD","Imported from file","Default","15/05/2025 00:00:19","0","-1.59872115546023E-14"
"HA33TBWD","Western Digital 3TB 3.5"" SATA HDD","Imported from file","Default","15/05/2025 00:00:19","0","-1.4210854715202E-13"
"HA31TBWD","Western Digital 1TB 3.5"" SATA HDD","Imported from file","Default","15/05/2025 00:00:19","0","-7.27595761418343E-12"
"HA34TB","4TB 3.5 SATA HDD, Hard Drive 5600 - 7200 RPM Storage for Desktop CCTV DVR","Imported from file","Default","15/05/2025 00:00:19","0","-4.54747350886464E-13"
"HA32TB","2TB 3.5"" SATA HDD","Imported from file","Gaming PC & Laptops","15/05/2025 00:00:19","0","-4.88853402202949E-12"
"HA3500SE","Seagate 500GB 3.5"" SATA HDD","Imported from file","Default","15/05/2025 00:00:19","0","-3.41060513164848E-13"
"HA2160-9","160GB 2.5"" SATA HDD 9mm","Imported from file","Default","15/05/2025 00:00:19","0","-5.32907051820075E-15"
"HA3640","640GB 3.5"" SATA HDD","Imported from file","Default","15/05/2025 00:00:19","0","-7.105427357601E-15"
"HA32TB","2TB 3.5"" SATA HDD","Imported from file","Default","15/05/2025 00:00:19","0","-6.3664629124105E-12"
"HA32TBWD","Western Digital 2TB 3.5"" SATA HDD","Imported from file","Default","15/05/2025 00:00:19","0","-2.72848410531878E-12"
"HX428C14SB2K8/64","KINGSTON HYPERX SAVAGE 64GB (8 x 8GB) DDR4 2800MHz Memory RAM HX428C14SB2K8/64","Imported from file","Default","15/05/2025 00:00:19","0","-4.83169060316868E-13"
"HX256GSSDMSATA-U","256GB MLC SATA 6Gb/s mSATA Internal Solid State Drive SSD Laptop PC Desktop","Imported from file","Default","15/05/2025 00:00:19","0","-9.09494701772928E-13"
"HX424C15FBK4/32","KINGSTON HYPERX FURY 32GB (4 x 8GB) DDR4 2400MHz Memory RAM HX424C15FBK4/32","Imported from file","Default","15/05/2025 00:00:19","0","-1.77635683940025E-14"
"HX426C15FBK4/16","KINGSTON HYPERX FURY 16GB (4x4GB) DDR4 2666MHz RAM HX426C15FBK4/16","Imported from file","Default","15/05/2025 00:00:19","0","-4.44089209850063E-16"
"HX426C15FBK2/8","KINGSTON HYPERX FURY 8GB (2x4GB) DDR4 2666MHz RAM HX426C15FBK2/8","Imported from file","Default","15/05/2025 00:00:19","0","-2.22044604925031E-16"
"HX120GSSDSATA3-U","120GB 2.5"" SATA SSD 90-100% Health","Imported from file","Sharjah","15/05/2025 00:00:19","0","-2.93098878501041E-14"
"HX426C16FB3/4","KINGSTON HYPERX FURY 4GB (1x4GB) DDR4 2666MHz RAM HX426C16FB3/4","Imported from file","Default","15/05/2025 00:00:19","0","-2.22044604925031E-16"
"HX421C14FB2K2/16","KINGSTON HYPERX FURY 16GB (2x8GB) DDR4 2133MHz RAM HX421C14FB2K2/16","Imported from file","Default","15/05/2025 00:00:19","0","-8.88178419700125E-15"
"HX432C16PB3K2/8","KINGSTON HYPERX PREDATOR 8GB (2x4GB) DDR4 3200MHz RAM HX432C16PB3K2/8","Imported from file","Default","15/05/2025 00:00:19","0","-2.22044604925031E-16"
"HX426C16FB3/16","KINGSTON HYPERX FURY 16GB (1 x16GB) DDR4 2666MHz Memory RAM HX426C16FB3/16","Imported from file","Default","15/05/2025 00:00:19","0","-8.88178419700125E-15"
"HX436C18FB4K4/64","KINGSTON HYPERX FURY 64GB (4 x16GB) DDR4 3600MHz Memory RAM HX436C18FB4K4/64","Imported from file","Default","15/05/2025 00:00:19","0","-8.88178419700125E-15"
"HX430C15PB2K4/16","KINGSTON HYPERX FURY 16GB (4 x 4GB) DDR4 DRAM 3000MHz C15 Memory RAM","Imported from file","Default","15/05/2025 00:00:19","0","-3.5527136788005E-15"
"HX421C14FB/4CL","KINGSTON HYPERX AQUADO 4GB (1x4GB) DDR4 2133MHz RAM HX421C14FB/4CL","Imported from file","Default","15/05/2025 00:00:19","0","-8.88178419700125E-16"
