ItemNumber,ItemTitle,ChangeSource,Location,StockChangeDateTime,ChangeQTY,ChangeValue
"5810-SPEC6","Dell Precision T5810 Xeon1630V4 32GB 500GB SSD GTX1080 4GB Win10 Pro","PO PO-4526-2 to OPEN. Due 1 UserName: kris@drmem.com","Default","12/05/2025 22:20:46","0","0"
"7610-SPEC2","Dell Precision T7610 2xXeon2680v2 64GB 1.92TB SSD 3x3TB HDD 1300W P1000 4GB Win10 Pro","PO PO-4526-2 to OPEN. Due 1 UserName: kris@drmem.com","Default","12/05/2025 22:20:46","0","0"
"7610-SPEC1","Dell Precision T7610 2xXeon2680v2 128GB 1.92TB SSD 3x3TB HDD 1300W P2000 5GB Win10 Pro","PO PO-4526-2 to OPEN. Due 1 UserName: kris@drmem.com","Default","12/05/2025 22:20:46","0","0"
"5810-SPEC5","Dell Precision T5810 Xeon1650V4 64GB 2TB HDD 500GB SSD GTX1650 4GB Win10 Pro","PO PO-4526-2 to OPEN. Due 2 UserName: kris@drmem.com","Default","12/05/2025 22:20:46","0","0"
"5610-SPEC1","Dell Precision T5610 Xeon2609V2 32GB 500GB SSD 2000GB HDD 685W PSU QUADRO K2000 2GB Win10 Pro","PO PO-4526-2 to OPEN. Due 2 UserName: kris@drmem.com","Default","12/05/2025 22:20:46","0","0"
"5610-SPEC1","Dell Precision T5610 Xeon2609V2 32GB 500GB SSD 2000GB HDD 685W PSU QUADRO K2000 2GB Win10 Pro","PO PO-4526-2 delivered 2 kris@drmem.com","Default","12/05/2025 22:20:50","2","38.72"
"7610-SPEC1","Dell Precision T7610 2xXeon2680v2 128GB 1.92TB SSD 3x3TB HDD 1300W P2000 5GB Win10 Pro","PO PO-4526-2 delivered 1 kris@drmem.com","Default","12/05/2025 22:20:50","1","19.36"
"7610-SPEC2","Dell Precision T7610 2xXeon2680v2 64GB 1.92TB SSD 3x3TB HDD 1300W P1000 4GB Win10 Pro","PO PO-4526-2 delivered 1 kris@drmem.com","Default","12/05/2025 22:20:50","1","19.36"
"5810-SPEC5","Dell Precision T5810 Xeon1650V4 64GB 2TB HDD 500GB SSD GTX1650 4GB Win10 Pro","PO PO-4526-2 delivered 2 kris@drmem.com","Default","12/05/2025 22:20:50","2","38.72"
"5810-SPEC6","Dell Precision T5810 Xeon1630V4 32GB 500GB SSD GTX1080 4GB Win10 Pro","PO PO-4526-2 delivered 1 kris@drmem.com","Default","12/05/2025 22:20:50","1","19.36"
